time,bat_tp.soc,tp_tp.soc,pcb_tp.soc,mod_tp.soc,pmu_tp.soc,soc_tp.soc,bat_tp.mod,tp_tp.mod,pcb_tp.mod,mod_tp.mod,pmu_tp.mod,soc_tp.mod,bat_side.top,tp_side.top,pcb_side.top,mod_side.top,pmu_side.top,soc_side.top,bat_side.rt,tp_side.rt,pcb_side.rt,mod_side.rt,pmu_side.rt,soc_side.rt,bat_side.lf,tp_side.lf,pcb_side.lf,mod_side.lf,pmu_side.lf,soc_side.lf,bat_bc.soc,tp_bc.soc,pcb_bc.soc,mod_bc.soc,pmu_bc.soc,soc_bc.soc,bat_bc.pmu,tp_bc.pmu,pcb_bc.pmu,mod_bc.pmu,pmu_bc.pmu,soc_bc.pmu
8.819748526,298.1508484,298.3259277,298.151947,298.150177,298.1510925,298.1536865,298.1500854,298.3258667,298.1525879,298.1539917,298.1503601,298.1503296,298.1500244,298.1516724,298.5875244,298.2561035,298.182312,298.1526184,298.150177,298.1517944,298.5906372,298.1500549,298.4672852,298.1957397,298.1501465,298.1515503,298.5823364,298.3572388,298.1500549,298.1502686,298.1500854,298.1500854,298.1507263,298.1500854,298.1504822,298.15448,298.1500549,298.1500549,298.1506958,298.1500549,298.1656799,298.1503906
9.701723378,298.151123,298.342041,298.1526489,298.150238,298.1515808,298.1549988,298.1501465,298.34198,298.1535034,298.1555176,298.1505737,298.1505127,298.1500244,298.1522522,298.6395874,298.2904053,298.1962891,298.1542053,298.1502991,298.1524048,298.6414185,298.1500854,298.5500488,298.212738,298.1502686,298.1520996,298.6343384,298.4162598,298.1501465,298.1505127,298.1500854,298.1500854,298.1510315,298.1500854,298.1507263,298.1564941,298.1500549,298.1500549,298.151001,298.1500549,298.1711731,298.1506348
10.67189572,298.1514282,298.3594971,298.153656,298.1503601,298.1523438,298.1567078,298.1502075,298.3594971,298.1547546,298.1575928,298.1508789,298.1508179,298.1500549,298.1530151,298.6959229,298.3327942,298.2147217,298.1565857,298.1503906,298.1531982,298.6960449,298.150177,298.6470337,298.2345886,298.1503906,298.152832,298.6906128,298.4870911,298.1502686,298.1508789,298.1500854,298.1500854,298.1514587,298.1500854,298.1510925,298.1592407,298.1500549,298.1500549,298.1514587,298.1500549,298.1782837,298.1509705
11.73908529,298.151886,298.3783875,298.1549683,298.1505737,298.1533203,298.1589355,298.1502991,298.378418,298.1564331,298.1603394,298.1513672,298.1511841,298.1500854,298.1540222,298.7565918,298.3842773,298.2386169,298.1600647,298.1505737,298.1542053,298.7546997,298.1503296,298.7589722,298.2620239,298.1505737,298.1537476,298.7513733,298.5709229,298.1505127,298.1515503,298.1500854,298.1500854,298.1520691,298.1500854,298.1516724,298.1630859,298.1500549,298.1500549,298.1520691,298.1500549,298.187561,298.1514893
12.91299382,298.1524353,298.3988037,298.1566772,298.1508179,298.1547852,298.1618652,298.1504211,298.3989258,298.1585999,298.1640625,298.1519775,298.1517334,298.1501465,298.1552734,298.8217468,298.4456787,298.2687683,298.164978,298.1508179,298.1555176,298.8173218,298.1506042,298.8861694,298.2960205,298.1508179,298.1549683,298.8166809,298.6687012,298.1508789,298.1525269,298.150116,298.1500854,298.1529236,298.150116,298.1525574,298.168335,298.1500549,298.1500549,298.1529236,298.1500854,298.1994324,298.1522522
14.2042932,298.1531372,298.4209595,298.158905,298.1512451,298.1567383,298.1656189,298.1506042,298.4211426,298.1614075,298.1688538,298.1529541,298.1525574,298.1502075,298.1568604,298.8913879,298.5178833,298.3060608,298.1717834,298.1511536,298.1571655,298.8839417,298.151062,299.0286865,298.3373718,298.1511841,298.1564941,298.8864746,298.7811279,298.1515503,298.1541138,298.150116,298.1500854,298.1541138,298.1501465,298.1538086,298.1755371,298.1500549,298.1500549,298.1541443,298.1500854,298.2145996,298.1533813
15.62472252,298.1540222,298.4448242,298.1618042,298.1518555,298.1594238,298.1704102,298.1508484,298.4451294,298.1651001,298.1751709,298.1543274,298.1536865,298.1503296,298.1588745,298.9655151,298.6014404,298.3511963,298.1809387,298.1515808,298.1591797,298.9544678,298.151825,299.1861572,298.3868408,298.1516113,298.1584473,298.9608154,298.9086914,298.1525879,298.1563721,298.1501465,298.1500854,298.1557617,298.150177,298.1557007,298.1851196,298.1500549,298.1500549,298.1557922,298.150116,298.2337036,298.1550598
17.18719477,298.1550903,298.4705811,298.1655273,298.152771,298.1629944,298.1765137,298.1511536,298.4710693,298.1697998,298.1832886,298.15625,298.1552429,298.1504211,298.161377,299.0441589,298.6967773,298.4047546,298.1929932,298.1521606,298.1617126,299.0289307,298.1530151,299.3579712,298.4451294,298.1522217,298.1608276,299.0395508,299.0514526,298.1541748,298.159668,298.150177,298.150116,298.1579895,298.150238,298.1584473,298.1978149,298.1500549,298.1500549,298.1580505,298.1502075,298.2576294,298.1574402
18.90591425,298.1564941,298.4983521,298.1702271,298.1540527,298.1677551,298.1841431,298.1515808,298.4990234,298.1757507,298.1936646,298.158844,298.1574097,298.1506348,298.1644592,299.1272583,298.8040161,298.4671936,298.2085266,298.1528931,298.1647949,299.1070557,298.1547852,299.5429688,298.5127258,298.1530151,298.1638184,299.1224976,299.2093506,298.1565857,298.1642456,298.1502075,298.150116,298.1610107,298.1503601,298.162323,298.214386,298.1500854,298.1500549,298.1610718,298.1502991,298.287262,298.1607971
20.79650567,298.1581726,298.5282593,298.1761475,298.1558228,298.1739502,298.1936646,298.1520996,298.5291748,298.1832581,298.2067871,298.1623535,298.1602783,298.1509094,298.1682129,299.2146912,298.9229126,298.5386963,298.2281189,298.1538086,298.1686096,299.1889038,298.1574402,299.7398682,298.5899963,298.1539917,298.1674805,299.2094727,299.3817139,298.1600647,298.1704712,298.150238,298.150116,298.1650696,298.1505432,298.1677551,298.2358704,298.1500854,298.1500854,298.1651306,298.1504822,298.3236389,298.1654358
